MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924799,-0.0480000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.5370000,4199160.0000000,-10879762.0000000,0.0483272
MsgID.LOCAL_VELOCITY,8.5370000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924795,-0.0350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.7880000,4199160.0000000,-10879762.0000000,0.0357791
MsgID.LOCAL_VELOCITY,8.7880000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924796,-0.0120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.0380000,4199160.0000000,-10879762.0000000,0.0122042
MsgID.LOCAL_VELOCITY,9.0380000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924811,0.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.2880000,4199160.5000000,-10879762.0000000,-0.0197301
MsgID.LOCAL_VELOCITY,9.2880000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924815,0.0540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.5390000,4199160.5000000,-10879762.0000000,-0.0542638
MsgID.LOCAL_VELOCITY,9.5390000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924799,0.0910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,9.7890000,4199160.0000000,-10879763.0000000,-0.0917118
MsgID.LOCAL_VELOCITY,9.7890000,-0.0000145,-0.0000064,0.0000097
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924808,0.1200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.0400000,4199160.5000000,-10879762.0000000,-0.1201975
MsgID.LOCAL_VELOCITY,10.0400000,-0.0000016,-0.0000156,0.0000136
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924803,0.1380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.2900000,-0.0125708,0.2218214,-0.1380081
MsgID.LOCAL_VELOCITY,10.2900000,0.0000260,-0.0000058,0.0000114
MsgID.GLOBAL_POSITION,0.0000000,-122.3974521,37.7924788,0.1450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.5390000,-0.1814097,0.1058530,-0.1454993
MsgID.LOCAL_VELOCITY,10.5390000,0.0000014,-0.0000083,0.0000202
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924800,0.1440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.7890000,-0.0481626,0.2046497,-0.1442387
MsgID.LOCAL_VELOCITY,10.7890000,-0.0000079,-0.0000163,0.0000132
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924790,0.1320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.0390000,-0.1625130,0.2928548,-0.1321250
MsgID.LOCAL_VELOCITY,11.0390000,-0.0000282,-0.0000233,0.0000175
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924790,0.1100000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.2890000,-0.1625181,0.2934949,-0.1103104
MsgID.LOCAL_VELOCITY,11.2890000,0.0000283,0.0000156,0.0000177
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924794,0.0790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.5390000,-0.1113178,0.3473913,-0.0797905
MsgID.LOCAL_VELOCITY,11.5390000,0.0000083,0.0000047,0.0000078
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924793,0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.7890000,-0.1289776,0.4746223,-0.0426898
MsgID.LOCAL_VELOCITY,11.7890000,-0.0000048,-0.0000128,0.0000104
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924799,0.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.0390000,-0.0611591,0.3702887,-0.0040161
MsgID.LOCAL_VELOCITY,12.0390000,0.0000098,0.0000015,0.0000048
MsgID.LOCAL_POSITION,12.2900000,-0.0524297,0.2483742,0.0306930
MsgID.LOCAL_VELOCITY,12.2900000,-0.0000259,-0.0000087,-0.0000046
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924799,-0.0300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,-0.0520000
